height,date
220.86,01/13/2014
220.00,06/14/2013
226.41,08/29/2011
223.00,01/26/2010
224.00,04/17/2007
226.00,03/15/2007
226.50,06/29/2006
225.90,04/04/2005
224.60,01/10/1998
228.00,01/20/1996
227.00,03/16/1986
221.60,12/14/1983
222.10,02/20/1981
213.90,02/12/1981
226.00,03/22/1980
225.00,03/06/1979
224.50,10/17/1977
226.50,03/14/1977
226.50,02/19/1976
224.50,03/06/1964
224.00,10/17/1955
229.20,03/19/1936
227.70,03/15/1929
227.70,04/02/1916
232.90,03/28/1914
228.90,03/28/1913
