,year,month,day,minute,height,date
0,2016.0,9.0,6.0,15.0,11.95,2016-9-6
1,2016.0,9.0,6.0,30.0,11.94,2016-9-6
2,2016.0,9.0,6.0,45.0,11.92,2016-9-6
3,2016.0,9.0,6.0,60.0,11.91,2016-9-6
4,2016.0,9.0,6.0,75.0,11.89,2016-9-6
5,2016.0,9.0,6.0,90.0,11.88,2016-9-6
6,2016.0,9.0,6.0,105.0,11.88,2016-9-6
7,2016.0,9.0,6.0,120.0,11.88,2016-9-6
8,2016.0,9.0,6.0,135.0,11.86,2016-9-6
9,2016.0,9.0,6.0,150.0,11.84,2016-9-6
10,2016.0,9.0,6.0,165.0,11.84,2016-9-6
11,2016.0,9.0,6.0,180.0,11.82,2016-9-6
12,2016.0,9.0,6.0,195.0,11.81,2016-9-6
13,2016.0,9.0,6.0,210.0,11.79,2016-9-6
14,2016.0,9.0,6.0,225.0,11.81,2016-9-6
15,2016.0,9.0,6.0,240.0,11.81,2016-9-6
16,2016.0,9.0,6.0,255.0,11.82,2016-9-6
17,2016.0,9.0,6.0,270.0,11.82,2016-9-6
18,2016.0,9.0,6.0,285.0,11.82,2016-9-6
19,2016.0,9.0,6.0,300.0,11.82,2016-9-6
20,2016.0,9.0,6.0,315.0,11.82,2016-9-6
21,2016.0,9.0,6.0,330.0,11.83,2016-9-6
22,2016.0,9.0,6.0,345.0,11.84,2016-9-6
23,2016.0,9.0,6.0,360.0,11.84,2016-9-6
24,2016.0,9.0,6.0,375.0,11.84,2016-9-6
25,2016.0,9.0,6.0,390.0,11.85,2016-9-6
26,2016.0,9.0,6.0,405.0,11.85,2016-9-6
27,2016.0,9.0,6.0,420.0,11.85,2016-9-6
28,2016.0,9.0,6.0,435.0,11.85,2016-9-6
29,2016.0,9.0,6.0,450.0,11.87,2016-9-6
30,2016.0,9.0,6.0,465.0,11.87,2016-9-6
31,2016.0,9.0,6.0,480.0,11.87,2016-9-6
32,2016.0,9.0,6.0,495.0,11.88,2016-9-6
33,2016.0,9.0,6.0,510.0,11.88,2016-9-6
34,2016.0,9.0,6.0,525.0,11.86,2016-9-6
35,2016.0,9.0,6.0,540.0,11.88,2016-9-6
36,2016.0,9.0,6.0,555.0,11.89,2016-9-6
37,2016.0,9.0,6.0,570.0,11.93,2016-9-6
38,2016.0,9.0,6.0,585.0,11.92,2016-9-6
39,2016.0,9.0,6.0,600.0,11.91,2016-9-6
40,2016.0,9.0,6.0,615.0,11.9,2016-9-6
41,2016.0,9.0,6.0,630.0,11.93,2016-9-6
42,2016.0,9.0,6.0,645.0,11.92,2016-9-6
43,2016.0,9.0,6.0,660.0,11.95,2016-9-6
44,2016.0,9.0,6.0,675.0,11.93,2016-9-6
45,2016.0,9.0,6.0,690.0,11.95,2016-9-6
46,2016.0,9.0,6.0,705.0,11.93,2016-9-6
47,2016.0,9.0,6.0,720.0,11.94,2016-9-6
48,2016.0,9.0,6.0,735.0,11.92,2016-9-6
49,2016.0,9.0,6.0,750.0,11.94,2016-9-6
50,2016.0,9.0,6.0,765.0,11.93,2016-9-6
51,2016.0,9.0,6.0,780.0,11.94,2016-9-6
52,2016.0,9.0,6.0,795.0,11.96,2016-9-6
53,2016.0,9.0,6.0,810.0,11.94,2016-9-6
54,2016.0,9.0,6.0,825.0,11.96,2016-9-6
55,2016.0,9.0,6.0,840.0,11.96,2016-9-6
56,2016.0,9.0,6.0,855.0,12.02,2016-9-6
57,2016.0,9.0,6.0,870.0,11.96,2016-9-6
58,2016.0,9.0,6.0,885.0,12.02,2016-9-6
59,2016.0,9.0,6.0,900.0,11.98,2016-9-6
60,2016.0,9.0,6.0,915.0,11.98,2016-9-6
61,2016.0,9.0,6.0,930.0,11.98,2016-9-6
62,2016.0,9.0,6.0,945.0,12.0,2016-9-6
63,2016.0,9.0,6.0,960.0,12.01,2016-9-6
64,2016.0,9.0,6.0,975.0,11.98,2016-9-6
65,2016.0,9.0,6.0,990.0,11.98,2016-9-6
66,2016.0,9.0,6.0,1005.0,11.97,2016-9-6
67,2016.0,9.0,6.0,1020.0,11.96,2016-9-6
68,2016.0,9.0,6.0,1035.0,11.96,2016-9-6
69,2016.0,9.0,6.0,1050.0,11.94,2016-9-6
70,2016.0,9.0,6.0,1065.0,11.97,2016-9-6
71,2016.0,9.0,6.0,1080.0,11.95,2016-9-6
72,2016.0,9.0,6.0,1095.0,11.96,2016-9-6
73,2016.0,9.0,6.0,1110.0,11.93,2016-9-6
74,2016.0,9.0,6.0,1125.0,11.93,2016-9-6
75,2016.0,9.0,6.0,1140.0,11.94,2016-9-6
76,2016.0,9.0,6.0,1155.0,11.92,2016-9-6
77,2016.0,9.0,6.0,1170.0,11.92,2016-9-6
78,2016.0,9.0,6.0,1185.0,11.93,2016-9-6
79,2016.0,9.0,6.0,1200.0,11.92,2016-9-6
80,2016.0,9.0,6.0,1215.0,11.91,2016-9-6
81,2016.0,9.0,6.0,1230.0,11.91,2016-9-6
82,2016.0,9.0,6.0,1245.0,11.91,2016-9-6
83,2016.0,9.0,6.0,1260.0,11.92,2016-9-6
84,2016.0,9.0,6.0,1275.0,11.92,2016-9-6
85,2016.0,9.0,6.0,1290.0,11.93,2016-9-6
86,2016.0,9.0,6.0,1305.0,11.93,2016-9-6
87,2016.0,9.0,6.0,1320.0,11.92,2016-9-6
88,2016.0,9.0,6.0,1335.0,11.92,2016-9-6
89,2016.0,9.0,6.0,1350.0,11.92,2016-9-6
90,2016.0,9.0,6.0,1365.0,11.92,2016-9-6
91,2016.0,9.0,6.0,1380.0,11.92,2016-9-6
92,2016.0,9.0,6.0,1395.0,11.92,2016-9-6
93,2016.0,9.0,6.0,1410.0,11.92,2016-9-6
94,2016.0,9.0,6.0,1425.0,11.92,2016-9-6
95,2016.0,9.0,6.0,1440.0,11.92,2016-9-6
96,2016.0,9.0,7.0,15.0,11.92,2016-9-7
97,2016.0,9.0,7.0,30.0,11.92,2016-9-7
98,2016.0,9.0,7.0,45.0,11.92,2016-9-7
99,2016.0,9.0,7.0,60.0,11.92,2016-9-7
100,2016.0,9.0,7.0,75.0,11.92,2016-9-7
101,2016.0,9.0,7.0,90.0,11.92,2016-9-7
