,year,month,day,minute,height
0,2016,9,6,15,12.02
1,2016,9,6,20,12.02
2,2016,9,6,25,12.02
3,2016,9,6,30,12.01
4,2016,9,6,35,12.01
5,2016,9,6,40,12.00
6,2016,9,6,45,11.99
7,2016,9,6,50,11.98
8,2016,9,6,55,11.97
9,2016,9,6,0,11.97
10,2016,9,6,5,11.96
11,2016,9,6,10,11.96
12,2016,9,6,15,11.95
13,2016,9,6,20,11.95
14,2016,9,6,25,11.94
15,2016,9,6,30,11.94
16,2016,9,6,35,11.94
17,2016,9,6,40,11.93
18,2016,9,6,45,11.93
19,2016,9,6,50,11.93
20,2016,9,6,55,11.92
21,2016,9,6,0,11.92
22,2016,9,6,5,11.92
23,2016,9,6,10,11.92
24,2016,9,6,15,11.92
25,2016,9,6,20,11.92
26,2016,9,6,25,11.92
27,2016,9,6,30,11.92
28,2016,9,6,35,11.91
29,2016,9,6,40,11.91
30,2016,9,6,45,11.90
31,2016,9,6,50,11.89
32,2016,9,6,55,11.88
33,2016,9,6,0,11.88
34,2016,9,6,5,11.88
35,2016,9,6,10,11.87
36,2016,9,6,15,11.87
37,2016,9,6,20,11.86
38,2016,9,6,25,11.86
39,2016,9,6,30,11.85
40,2016,9,6,35,11.85
41,2016,9,6,40,11.84
42,2016,9,6,45,11.84
43,2016,9,6,50,11.84
44,2016,9,6,55,11.84
45,2016,9,6,0,11.85
46,2016,9,6,5,11.87
47,2016,9,6,10,11.88
48,2016,9,6,15,11.89
49,2016,9,6,20,11.89
50,2016,9,6,25,11.89
51,2016,9,6,30,11.88
52,2016,9,6,35,11.88
53,2016,9,6,40,11.88
54,2016,9,6,45,11.88
55,2016,9,6,50,11.87
56,2016,9,6,55,11.87
57,2016,9,6,0,11.87
58,2016,9,6,5,11.87
59,2016,9,6,10,11.87
60,2016,9,6,15,11.87
61,2016,9,6,20,11.88
62,2016,9,6,25,11.88
63,2016,9,6,30,11.87
64,2016,9,6,35,11.87
65,2016,9,6,40,11.87
66,2016,9,6,45,11.88
67,2016,9,6,50,11.88
68,2016,9,6,55,11.89
69,2016,9,6,0,11.89
70,2016,9,6,5,11.90
71,2016,9,6,10,11.91
72,2016,9,6,15,11.91
73,2016,9,6,20,11.92
74,2016,9,6,25,11.92
75,2016,9,6,30,11.91
76,2016,9,6,35,11.91
77,2016,9,6,40,11.91
78,2016,9,6,45,11.91
79,2016,9,6,50,11.91
80,2016,9,6,55,11.91
81,2016,9,6,0,11.91
82,2016,9,6,5,11.91
83,2016,9,6,10,11.91
84,2016,9,6,15,11.91
85,2016,9,6,20,11.91
86,2016,9,6,25,11.91
87,2016,9,6,30,11.91
88,2016,9,6,35,11.92
89,2016,9,6,40,11.92
90,2016,9,6,45,11.92
91,2016,9,6,50,11.92
92,2016,9,6,55,11.93
93,2016,9,6,0,11.93
94,2016,9,6,5,11.94
95,2016,9,6,10,11.94
96,2016,9,6,15,11.94
97,2016,9,6,20,11.97
98,2016,9,6,25,11.95
99,2016,9,6,30,11.94
100,2016,9,6,35,11.93
101,2016,9,6,40,11.93
102,2016,9,6,45,11.93
103,2016,9,6,50,11.94
104,2016,9,6,55,11.94
105,2016,9,6,0,11.94
106,2016,9,6,5,11.94
107,2016,9,6,10,11.98
108,2016,9,6,15,11.95
109,2016,9,6,20,11.94
110,2016,9,6,25,11.94
111,2016,9,6,30,11.94
112,2016,9,6,35,11.94
113,2016,9,6,40,11.94
114,2016,9,6,45,11.95
115,2016,9,6,50,11.95
116,2016,9,6,55,11.97
117,2016,9,6,0,11.97
118,2016,9,6,5,11.97
119,2016,9,6,10,11.98
120,2016,9,6,15,11.98
121,2016,9,6,20,11.98
122,2016,9,6,25,11.97
123,2016,9,6,30,11.97
124,2016,9,6,35,11.95
125,2016,9,6,40,11.97
126,2016,9,6,45,11.98
127,2016,9,6,50,11.99
128,2016,9,6,55,11.99
129,2016,9,6,0,11.99
130,2016,9,6,5,11.98
131,2016,9,6,10,11.99
132,2016,9,6,15,11.99
133,2016,9,6,20,11.99
134,2016,9,6,25,11.99
135,2016,9,6,30,11.99
136,2016,9,6,35,11.98
137,2016,9,6,40,11.99
138,2016,9,6,45,11.99
139,2016,9,6,50,12.00
140,2016,9,6,55,12.01
141,2016,9,6,0,12.01
142,2016,9,6,5,12.01
143,2016,9,6,10,12.00
144,2016,9,6,15,12.00
145,2016,9,6,20,12.00
146,2016,9,6,25,12.00
147,2016,9,6,30,12.00
148,2016,9,6,35,12.00
149,2016,9,6,40,11.99
150,2016,9,6,45,11.99
151,2016,9,6,50,11.99
152,2016,9,6,55,12.00
153,2016,9,6,0,11.99
154,2016,9,6,5,11.99
155,2016,9,6,10,11.98
156,2016,9,6,15,11.98
157,2016,9,6,20,11.99
158,2016,9,6,25,12.00
159,2016,9,6,30,12.01
160,2016,9,6,35,12.01
161,2016,9,6,40,12.02
162,2016,9,6,45,12.02
163,2016,9,6,50,12.03
164,2016,9,6,55,12.03
165,2016,9,6,0,12.04
166,2016,9,6,5,12.04
167,2016,9,6,10,12.04
168,2016,9,6,15,12.04
169,2016,9,6,20,12.02
170,2016,9,6,25,12.04
171,2016,9,6,30,12.04
172,2016,9,6,35,12.05
173,2016,9,6,40,12.04
174,2016,9,6,45,12.03
175,2016,9,6,50,12.02
176,2016,9,6,55,12.01
177,2016,9,6,0,12.02
178,2016,9,6,5,12.02
179,2016,9,6,10,12.03
180,2016,9,6,15,12.03
181,2016,9,6,20,12.02
182,2016,9,6,25,12.03
183,2016,9,6,30,12.03
184,2016,9,6,35,12.04
185,2016,9,6,40,12.06
186,2016,9,6,45,12.06
187,2016,9,6,50,12.08
188,2016,9,6,55,12.06
189,2016,9,6,0,12.06
190,2016,9,6,5,12.05
191,2016,9,6,10,12.05
192,2016,9,6,15,12.06
193,2016,9,6,20,12.07
194,2016,9,6,25,12.07
195,2016,9,6,30,12.07
196,2016,9,6,35,12.06
197,2016,9,6,40,12.04
198,2016,9,6,45,12.03
199,2016,9,6,50,12.02
200,2016,9,6,55,12.02
201,2016,9,6,0,12.01
202,2016,9,6,5,12.00
203,2016,9,6,10,11.99
204,2016,9,6,15,11.98
205,2016,9,6,20,11.98
206,2016,9,6,25,11.99
207,2016,9,6,30,12.01
208,2016,9,6,35,12.03
209,2016,9,6,40,12.03
210,2016,9,6,45,12.03
211,2016,9,6,50,12.03
212,2016,9,6,55,12.02
213,2016,9,6,0,12.02
214,2016,9,6,5,12.02
215,2016,9,6,10,12.02
216,2016,9,6,15,12.02
217,2016,9,6,20,12.02
218,2016,9,6,25,12.01
219,2016,9,6,30,12.01
220,2016,9,6,35,12.01
221,2016,9,6,40,12.00
222,2016,9,6,45,12.00
223,2016,9,6,50,11.99
224,2016,9,6,55,11.98
225,2016,9,6,0,11.97
226,2016,9,6,5,11.97
227,2016,9,6,10,11.97
228,2016,9,6,15,11.98
229,2016,9,6,20,11.98
230,2016,9,6,25,11.98
231,2016,9,6,30,11.98
232,2016,9,6,35,11.98
233,2016,9,6,40,11.98
234,2016,9,6,45,11.98
235,2016,9,6,50,11.98
236,2016,9,6,55,11.98
237,2016,9,6,0,11.98
238,2016,9,6,5,11.98
239,2016,9,6,10,11.98
240,2016,9,6,15,11.97
241,2016,9,6,20,11.97
242,2016,9,6,25,11.97
243,2016,9,6,30,11.97
244,2016,9,6,35,11.96
245,2016,9,6,40,11.96
246,2016,9,6,45,11.96
247,2016,9,6,50,11.96
248,2016,9,6,55,11.97
249,2016,9,6,0,11.97
250,2016,9,6,5,11.98
251,2016,9,6,10,11.98
252,2016,9,6,15,11.98
253,2016,9,6,20,11.98
254,2016,9,6,25,11.98
255,2016,9,6,30,11.98
256,2016,9,6,35,11.98
257,2016,9,6,40,11.99
258,2016,9,6,45,11.99
259,2016,9,6,50,11.99
260,2016,9,6,55,11.99
