elevation,location
71.96225739,"(42.81944, -73.94304)"
71.89320374,"(42.81944998342158, -73.94305251853359)"
71.82546234,"(42.81945996684179, -73.94306503707122)"
71.7590332,"(42.81946995026064, -73.94307755561289)"
71.6921463,"(42.81947993367813, -73.94309007415859)"
71.62892914,"(42.81948991709426, -73.94310259270833)"
71.57103729,"(42.81949990050902, -73.94311511126216)"
71.51755524,"(42.81950988392241, -73.94312762981997)"
71.46989441,"(42.81951986733444, -73.94314014838187)"
71.42811584,"(42.81952985074511, -73.94315266694775)"
71.39279175,"(42.81953983415442, -73.94316518551773)"
71.36390686,"(42.81954981756236, -73.94317770409174)"
71.33151245,"(42.81955980096894, -73.94319022266978)"
71.31225586,"(42.81956978437415, -73.94320274125187)"
71.28581238,"(42.819579767778, -73.94321525983804)"
71.25227356,"(42.81958975118049, -73.9432277784282)"
71.21187592,"(42.81959973458161, -73.94324029702244)"
71.16533661,"(42.81960971798136, -73.94325281562067)"
71.1086731,"(42.81961970137977, -73.94326533422299)"
71.00154114,"(42.81962968477681, -73.94327785282934)"
70.87456512,"(42.81963966817246, -73.94329037143973)"
70.71688843,"(42.81964965156678, -73.94330289005416)"
70.54139709,"(42.81965963495972, -73.94331540867262)"
70.35890198,"(42.8196696183513, -73.94332792729517)"
70.17290497,"(42.81967960174151, -73.9433404459217)"
69.99020386,"(42.81968958513036, -73.94335296455233)"
69.88258362,"(42.81969956851785, -73.943365483187)"
69.77974701,"(42.81970955190397, -73.94337800182564)"
69.68170929,"(42.81971953528873, -73.94339052046837)"
69.61553192,"(42.81972951867211, -73.9434030391152)"
69.60011292,"(42.81973950205415, -73.943415557766)"
69.58856201,"(42.81974948543483, -73.94342807642084)"
69.58065796,"(42.81975946881413, -73.94344059507972)"
69.57416534,"(42.81976945219206, -73.94345311374269)"
69.54916382,"(42.81977943556864, -73.9434656324097)"
69.51997375,"(42.81978941894386, -73.94347815108068)"
69.49050903,"(42.81979940231771, -73.94349066975576)"
69.46321106,"(42.8198093856902, -73.94350318843487)"
69.4345932,"(42.81981936906131, -73.94351570711802)"
69.40538025,"(42.81982935243108, -73.94352822580527)"
69.38026428,"(42.81983933579947, -73.94354074449649)"
69.36061096,"(42.8198493191665, -73.94355326319175)"
69.34580231,"(42.81985930253217, -73.9435657818911)"
69.31769562,"(42.81986928589648, -73.94357830059448)"
