,year,month,day,minute,height,date
2592,2011.0,8.0,28.0,15.0,12.05,2011-8-28
2593,2011.0,8.0,28.0,30.0,12.08,2011-8-28
2594,2011.0,8.0,28.0,45.0,12.11,2011-8-28
2595,2011.0,8.0,28.0,60.0,12.1,2011-8-28
2596,2011.0,8.0,28.0,75.0,12.1,2011-8-28
2597,2011.0,8.0,28.0,90.0,12.13,2011-8-28
2598,2011.0,8.0,28.0,105.0,12.17,2011-8-28
2599,2011.0,8.0,28.0,120.0,12.2,2011-8-28
2600,2011.0,8.0,28.0,135.0,12.25,2011-8-28
2601,2011.0,8.0,28.0,150.0,12.46,2011-8-28
2602,2011.0,8.0,28.0,165.0,12.43,2011-8-28
2603,2011.0,8.0,28.0,180.0,12.5,2011-8-28
2604,2011.0,8.0,28.0,195.0,12.45,2011-8-28
2605,2011.0,8.0,28.0,210.0,12.41,2011-8-28
2606,2011.0,8.0,28.0,225.0,12.41,2011-8-28
2607,2011.0,8.0,28.0,240.0,12.42,2011-8-28
2608,2011.0,8.0,28.0,255.0,12.41,2011-8-28
2609,2011.0,8.0,28.0,270.0,12.37,2011-8-28
2610,2011.0,8.0,28.0,285.0,12.39,2011-8-28
2611,2011.0,8.0,28.0,300.0,12.4,2011-8-28
2612,2011.0,8.0,28.0,315.0,12.39,2011-8-28
2613,2011.0,8.0,28.0,330.0,12.4,2011-8-28
2614,2011.0,8.0,28.0,345.0,12.43,2011-8-28
2615,2011.0,8.0,28.0,360.0,12.49,2011-8-28
2616,2011.0,8.0,28.0,375.0,12.47,2011-8-28
2617,2011.0,8.0,28.0,390.0,12.46,2011-8-28
2618,2011.0,8.0,28.0,405.0,12.5,2011-8-28
2619,2011.0,8.0,28.0,420.0,12.5,2011-8-28
2620,2011.0,8.0,28.0,435.0,12.51,2011-8-28
2621,2011.0,8.0,28.0,450.0,12.56,2011-8-28
2622,2011.0,8.0,28.0,465.0,12.64,2011-8-28
2623,2011.0,8.0,28.0,480.0,13.04,2011-8-28
2624,2011.0,8.0,28.0,495.0,13.41,2011-8-28
2625,2011.0,8.0,28.0,510.0,13.55,2011-8-28
2626,2011.0,8.0,28.0,525.0,13.6,2011-8-28
2627,2011.0,8.0,28.0,540.0,13.7,2011-8-28
2628,2011.0,8.0,28.0,555.0,13.8,2011-8-28
2629,2011.0,8.0,28.0,570.0,13.99,2011-8-28
2630,2011.0,8.0,28.0,585.0,14.11,2011-8-28
2631,2011.0,8.0,28.0,600.0,14.22,2011-8-28
2632,2011.0,8.0,28.0,615.0,14.24,2011-8-28
2633,2011.0,8.0,28.0,630.0,14.24,2011-8-28
2634,2011.0,8.0,28.0,645.0,14.21,2011-8-28
2635,2011.0,8.0,28.0,660.0,14.2,2011-8-28
2636,2011.0,8.0,28.0,675.0,14.16,2011-8-28
2637,2011.0,8.0,28.0,690.0,14.2,2011-8-28
2638,2011.0,8.0,28.0,705.0,14.2,2011-8-28
2639,2011.0,8.0,28.0,720.0,14.23,2011-8-28
2640,2011.0,8.0,28.0,735.0,14.26,2011-8-28
2641,2011.0,8.0,28.0,750.0,14.27,2011-8-28
2642,2011.0,8.0,28.0,765.0,14.35,2011-8-28
2643,2011.0,8.0,28.0,780.0,14.49,2011-8-28
2644,2011.0,8.0,28.0,795.0,14.78,2011-8-28
2645,2011.0,8.0,28.0,810.0,15.04,2011-8-28
