,year,month,day,minute,height
0,2014.0,9.0,6.0,15.0,11.88
1,2014.0,9.0,6.0,30.0,11.88
2,2014.0,9.0,6.0,45.0,11.88
3,2014.0,9.0,6.0,60.0,11.88
4,2014.0,9.0,6.0,75.0,11.87
5,2014.0,9.0,6.0,90.0,11.88
6,2014.0,9.0,6.0,105.0,11.88
7,2014.0,9.0,6.0,120.0,11.87
8,2014.0,9.0,6.0,135.0,11.86
9,2014.0,9.0,6.0,150.0,11.87
10,2014.0,9.0,6.0,165.0,11.88
11,2014.0,9.0,6.0,180.0,11.86
12,2014.0,9.0,6.0,195.0,11.86
13,2014.0,9.0,6.0,210.0,11.86
14,2014.0,9.0,6.0,225.0,11.86
15,2014.0,9.0,6.0,240.0,11.85
16,2014.0,9.0,6.0,255.0,11.85
17,2014.0,9.0,6.0,270.0,11.85
18,2014.0,9.0,6.0,285.0,11.84
19,2014.0,9.0,6.0,300.0,11.84
20,2014.0,9.0,6.0,315.0,11.84
21,2014.0,9.0,6.0,330.0,11.84
22,2014.0,9.0,6.0,345.0,11.85
23,2014.0,9.0,6.0,360.0,11.84
24,2014.0,9.0,6.0,375.0,11.85
25,2014.0,9.0,6.0,390.0,11.85
26,2014.0,9.0,6.0,405.0,11.84
27,2014.0,9.0,6.0,420.0,11.85
28,2014.0,9.0,6.0,435.0,11.84
29,2014.0,9.0,6.0,450.0,11.84
30,2014.0,9.0,6.0,465.0,11.83
31,2014.0,9.0,6.0,480.0,11.84
32,2014.0,9.0,6.0,495.0,11.88
33,2014.0,9.0,6.0,510.0,11.89
34,2014.0,9.0,6.0,525.0,11.93
35,2014.0,9.0,6.0,540.0,11.94
36,2014.0,9.0,6.0,555.0,11.95
37,2014.0,9.0,6.0,570.0,11.96
38,2014.0,9.0,6.0,585.0,11.98
39,2014.0,9.0,6.0,600.0,11.98
40,2014.0,9.0,6.0,615.0,11.99
41,2014.0,9.0,6.0,630.0,12.03
42,2014.0,9.0,6.0,645.0,12.05
43,2014.0,9.0,6.0,660.0,12.05
44,2014.0,9.0,6.0,675.0,12.05
45,2014.0,9.0,6.0,690.0,12.07
46,2014.0,9.0,6.0,705.0,12.07
47,2014.0,9.0,6.0,720.0,12.09
