elevation,location
72.72480774,"(42.81836, -73.94589000000002)"
72.83391571,"(42.81836921816512, -73.94589855951142)"
72.94490814,"(42.81837843632961, -73.94590711902549)"
73.05778503,"(42.81838765449346, -73.94591567854201)"
73.17254639,"(42.81839687265668, -73.94592423806114)"
73.32049561,"(42.81840609081926, -73.94593279758277)"
73.47302246,"(42.8184153089812, -73.94594135710702)"
73.61780548,"(42.8184245271425, -73.94594991663377)"
73.75482941,"(42.81843374530317, -73.94595847616307)"
73.88171387,"(42.81844296346319, -73.94596703569493)"
73.99099731,"(42.81845218162258, -73.94597559522936)"
74.09594727,"(42.81846139978133, -73.94598415476634)"
74.19692993,"(42.81847061793945, -73.94599271430582)"
74.29392242,"(42.81847983609693, -73.94600127384791)"
74.37799072,"(42.81848905425376, -73.94600983339257)"
74.45484924,"(42.81849827240996, -73.94601839293972)"
74.53006744,"(42.81850749056553, -73.94602695248943)"
74.6000061,"(42.81851670872046, -73.94603551204176)"
74.66464996,"(42.81852592687475, -73.94604407159659)"
74.69789886,"(42.8185351450284, -73.94605263115398)"
74.72315216,"(42.81854436318142, -73.94606119071392)"
74.74302673,"(42.81855358133379, -73.94606975027642)"
74.75675964,"(42.81856279948553, -73.94607830984148)"
74.76200867,"(42.81857201763663, -73.94608686940904)"
74.75475311,"(42.81858123578709, -73.94609542897922)"
74.74526215,"(42.81859045393692, -73.9461039885519)"
74.73410797,"(42.81859967208611, -73.94611254812713)"
74.72201538,"(42.81860889023466, -73.94612110770498)"
74.70835876,"(42.81861810838258, -73.94612966728533)"
74.69464874,"(42.81862732652986, -73.94613822686824)"
74.68090057,"(42.81863654467649, -73.94614678645371)"
74.66709137,"(42.81864576282249, -73.94615534604168)"
74.65393829,"(42.81865498096786, -73.94616390563226)"
74.64495087,"(42.81866419911258, -73.9461724652254)"
74.63710785,"(42.81867341725667, -73.94618102482104)"
74.62982941,"(42.81868263540013, -73.9461895844193)"
74.62308502,"(42.81869185354293, -73.94619814402006)"
74.61695862,"(42.81870107168511, -73.94620670362337)"
74.61106873,"(42.81871028982665, -73.9462152632293)"
74.60543823,"(42.81871950796755, -73.94622382283768)"
74.59779358,"(42.81872872610782, -73.94623238244867)"
74.587677,"(42.81873794424745, -73.94624094206222)"
74.57347107,"(42.81874716238644, -73.94624950167832)"
74.55430603,"(42.81875638052479, -73.94625806129693)"
74.53227997,"(42.81876559866249, -73.94626662091815)"
74.50746918,"(42.81877481679958, -73.94627518054187)"
74.47987366,"(42.81878403493601, -73.94628374016816)"
74.40581512,"(42.81879325307181, -73.94629229979705)"
74.32496643,"(42.81880247120697, -73.94630085942845)"
74.24077606,"(42.81881168934151, -73.9463094190624)"
74.15262604,"(42.8188209074754, -73.94631797869886)"
74.05056,"(42.81883012560865, -73.94632653833793)"
73.91761017,"(42.81883934374125, -73.94633509797956)"
73.78164673,"(42.81884856187324, -73.94634365762374)"
73.64266205,"(42.81885778000458, -73.94635221727043)"
73.50080872,"(42.81886699813528, -73.94636077691968)"
73.34738159,"(42.81887621626534, -73.94636933657148)"
73.18434906,"(42.81888543439477, -73.9463778962259)"
73.01698303,"(42.81889465252356, -73.94638645588282)"
72.84526062,"(42.8189038706517, -73.9463950155423)"
72.67164612,"(42.81891308877921, -73.94640357520427)"
72.49176025,"(42.8189223069061, -73.94641213486886)"
72.30667877,"(42.81893152503233, -73.94642069453602)"
72.11659241,"(42.81894074315793, -73.94642925420567)"
71.9214859,"(42.8189499612829, -73.94643781387794)"
71.71903229,"(42.81895917940723, -73.9464463735527)"
71.50296783,"(42.81896839753092, -73.94645493323003)"
71.27877808,"(42.81897761565396, -73.94646349290997)"
71.04646301,"(42.81898683377638, -73.94647205259241)"
70.80602264,"(42.81899605189815, -73.94648061227741)"
70.57054901,"(42.81900527001929, -73.94648917196491)"
70.33873749,"(42.81901448813979, -73.94649773165503)"
70.09999084,"(42.81902370625966, -73.9465062913477)"
69.85430145,"(42.81903292437888, -73.94651485104288)"
69.60167694,"(42.81904214249746, -73.94652341074067)"
69.36167908,"(42.81905136061541, -73.94653197044096)"
69.12182617,"(42.81906057873273, -73.9465405301438)"
68.87163544,"(42.8190697968494, -73.94654908984921)"
